term,estimate,std_error,t_statistic,p_value,conf_low,conf_high,model,initial_price_adjusted,component,sale_year
sale_year::2016:treated,75987.2823115912,35554.0081671405,2.13723532813438,0.0357953575487925,5175.33808201469,146799.226541168,event_dollars,0,treatment,2016
sale_year::2017:treated,80863.369788267,42053.6087164323,1.92286398852306,0.0582437328261888,-2893.65082896533,164620.390405499,event_dollars,0,treatment,2017
sale_year::2018:treated,52256.7882171959,36700.6218786315,1.42386655980949,0.158577913935591,-20838.8351354002,125352.411569792,event_dollars,0,treatment,2018
sale_year::2008:initial_price_100k,20149.4081126276,5832.46087873352,3.45470094554717,0.000904327958061206,8533.05553362996,31765.7606916251,event_dollars,1,initial_price_year,2008
sale_year::2008:treated,-9592.07101755964,17801.7993725071,-0.538825925224927,0.591581843920366,-45047.4272301715,25863.2851950522,event_dollars,1,treatment,2008
sale_year::2009:initial_price_100k,2348.92552621307,5054.3135313436,0.464736805828635,0.643448666016168,-7717.61229472037,12415.4633471465,event_dollars,1,initial_price_year,2009
sale_year::2009:treated,13997.0321409915,16220.9900233949,0.862896291829546,0.39090935113122,-18309.8693899235,46303.9336719065,event_dollars,1,treatment,2009
sale_year::2010:initial_price_100k,-6718.62228257729,6509.4292959899,-1.03213691662897,0.305281367032059,-19683.2743158189,6246.02975066434,event_dollars,1,initial_price_year,2010
sale_year::2010:treated,-30860.279192398,16183.603459482,-1.9068855258139,0.0603148953471937,-63092.7189279988,1372.16054320288,event_dollars,1,treatment,2010
sale_year::2011:initial_price_100k,-3563.12145224398,6230.51518741756,-0.571882315516966,0.569089367065317,-15972.2678949986,8846.02499051067,event_dollars,1,initial_price_year,2011
sale_year::2011:treated,-7465.55024545904,16960.9306578049,-0.440161592313545,0.661069379075233,-41246.1712706916,26315.0707797735,event_dollars,1,treatment,2011
sale_year::2013:initial_price_100k,9294.05425024512,4228.55515994732,2.19792669096006,0.0309992442134951,872.156759806425,17715.9517406838,event_dollars,1,initial_price_year,2013
sale_year::2013:treated,7613.40353564715,13415.8902731296,0.567491488127021,0.572052892879893,-19106.6576553434,34333.4647266377,event_dollars,1,treatment,2013
sale_year::2014:initial_price_100k,22353.8380023649,8230.58014360111,2.71594925416575,0.00817739904130236,5961.21696886928,38746.4590358604,event_dollars,1,initial_price_year,2014
sale_year::2014:treated,26842.9155877893,25351.5755404625,1.05882632599881,0.293032582767833,-23649.1230274874,77334.954203066,event_dollars,1,treatment,2014
sale_year::2015:initial_price_100k,30218.4987282537,7015.08767222664,4.3076437729911,4.87571168010946e-05,16246.740757224,44190.2566992834,event_dollars,1,initial_price_year,2015
